Team,Diagnosis Code,Z score
UW-biostat,Z14.8,3.152392807
UW-biostat,E03.8,6.289318339
UW-biostat,M19,-49.70171781
UW-biostat,M19.0,-71.04362339
UW-biostat,M19.03,-21.04622133
UW-biostat,M19.032,-23.16425668
UW-biostat,M30-M36,-2.088871317
UW-biostat,M35,21.9672151
UW-biostat,M35.1,-1.051217094
UW-biostat,I35,-79.88658314
UW-biostat,I35.1,-3.150943149
UW-biostat,M18,-21.01963654
UW-biostat,M18.1,-8.403201848
UW-biostat,M18.12,-7.357476316
UW-biostat,E06,15.71547775
UW-biostat,E06.3,13.62516833
UW-biostat,K30,-6.306149125
UW-biostat,R11.0,263.378135
UW-biostat,M95-M95,3.148602783
UW-biostat,M95,3.148602783
UW-biostat,M95.2,-5.256596054
UW-biostat,D00-D09,14.65528853
UW-biostat,D03,2.101744091
UW-biostat,S02,13.59819902
UW-biostat,S02.9,2.101359765
UW-biostat,S02.92,2.101493111
UW-biostat,I49,55.06528755
UW-biostat,I49.5,5.243669421
UW-biostat,F20-F29,-132.5241614
UW-biostat,F29,-31.52722196
UW-biostat,I12,179.5248188
UW-biostat,I12.9,135.1865157
UW-biostat,N18.9,103.4308877
UW-biostat,R68,51.95416155
UW-biostat,R68.8,8.353209327
UW-biostat,R68.89,-2.094455574
UW-biostat,I51,40.6982747
UW-biostat,I51.7,-11.55336138
UW-biostat,I48,386.135264
UW-biostat,I48.0,61.07399057
UW-biostat,R53,378.6310732
UW-biostat,R53.8,369.1629796
UW-biostat,R53.83,365.8406864
UW-biostat,I47,127.1541661
UW-biostat,I47.1,107.0194907
UW-biostat,R93,-17.83141488
UW-biostat,R93.1,-11.56641581
UW-biostat,R94,36.37908778
UW-biostat,R94.6,12.60003883
UW-biostat,K63.9,-23.16192273
UW-biostat,C00-C14,8.38702267
UW-biostat,C10,-7.361487971
UW-biostat,C10.9,-7.361625316
UW-biostat,M79.8,50.80121122
UW-biostat,M79.89,49.78327237
UW-biostat,M15,7.343588765
UW-biostat,M15.0,-1.05064433
UW-biostat,K70-K77,288.9771828
UW-biostat,K76,123.3741254
UW-biostat,K76.9,-12.60140026
UW-biostat,K70,40.74418181
UW-biostat,K70.3,29.2962797
UW-biostat,K70.30,-13.65657736
UW-biostat,M84,92.71716469
UW-biostat,M84.3,2.101720563
UW-biostat,I50,200.0524282
UW-biostat,I50.9,9.400919283
UW-biostat,F10,-36.40302335
UW-biostat,F10.1,-29.25940139
UW-biostat,F10.10,1.045953588
UW-biostat,M05-M14,34.07892943
UW-biostat,M10,43.76162305
UW-biostat,M10.9,46.90658715
UW-biostat,F19,-26.20434655
UW-biostat,F19.9,-34.72534261
UW-biostat,F19.90,-36.85488041
UW-biostat,I48.1,-11.55150138
UW-biostat,S72,19.89058657
UW-biostat,S72.0,8.397760189
UW-biostat,I49.0,25.16097984
UW-biostat,I49.01,25.16116784
UW-biostat,M1A,15.72330662
UW-biostat,M1A.0,1.050373783
UW-biostat,Z69-Z76,-76.41306927
UW-biostat,Z72,-18.9180967
UW-biostat,Z72.8,-23.14670283
UW-biostat,Z72.89,-2.101555373
UW-biostat,H00-H05,-17.63944042
UW-biostat,H04,-13.54021481
UW-biostat,H04.1,-17.72501554
UW-biostat,H04.12,-17.72521781
UW-biostat,H04.123,-4.170125738
UW-biostat,F10.2,-34.54744723
UW-biostat,F10.20,-14.69209682
UW-biostat,K40-K46,13.48315702
UW-biostat,K44,-26.2032604
UW-biostat,K44.9,-25.15362383
UW-biostat,R07.2,-47.35468122
UW-biostat,R06.02,25.78678313
UW-biostat,K90-K95,184.7875834
UW-biostat,K92,173.3635836
UW-biostat,K92.2,96.90701112
UW-biostat,I48.9,313.0195612
UW-biostat,I48.91,252.0290547
UW-biostat,C51-C58,-6.293840549
UW-biostat,C54,-33.69245122
UW-biostat,C54.1,-35.80762464
UW-biostat,K25,40.82164226
UW-biostat,K25.9,18.88203724
UW-biostat,I80-I89,242.2734714
UW-biostat,I82,146.6727303
UW-biostat,I82.4,149.1221005
UW-biostat,I82.40,65.7794724
UW-biostat,I82.409,42.93293051
UW-biostat,K21.0,36.55592451
UW-biostat,M19.9,20.84880364
UW-biostat,M19.90,14.60431004
UW-biostat,D68,490.444968
UW-biostat,D68.3,46.07584378
UW-biostat,D68.32,45.03333832
UW-biostat,E87,2214.329201
UW-biostat,E87.6,650.170606
UW-biostat,D70-D77,471.3171914
UW-biostat,D72,276.849199
UW-biostat,D72.8,264.1040361
UW-biostat,D72.82,199.2704099
UW-biostat,D72.829,189.3567716
UW-biostat,K26,39.79140809
UW-biostat,K26.4,39.81845771
UW-biostat,C55,-1.051193562
UW-biostat,N95,-10.47242425
UW-biostat,N95.0,8.394119832
UW-biostat,R63,183.6443429
UW-biostat,R63.0,181.6521083
UW-biostat,N99-N99,23.06731128
UW-biostat,N99,23.06731128
UW-biostat,N99.8,6.303516995
UW-biostat,N93,15.67822011
UW-biostat,N93.9,11.50874534
UW-biostat,I82.5,23.06412217
UW-biostat,I82.50,16.79361227
UW-biostat,I82.509,6.304199007
UW-biostat,R30-R39,291.0837681
UW-biostat,R33,119.9206069
UW-biostat,R33.8,37.67338931
UW-biostat,N30-N39,210.3451708
UW-biostat,N39,195.2840437
UW-biostat,N39.4,19.84540475
UW-biostat,N39.41,5.240408357
UW-biostat,R35,31.20272625
UW-biostat,R35.0,30.23150329
UW-biostat,N20-N23,7.299047541
UW-biostat,N21,-6.307468095
UW-biostat,N21.0,-6.307703594
UW-biostat,N10-N16,111.7228158
UW-biostat,N13,101.6151789
UW-biostat,N13.8,18.86467901
UW-biostat,N40-N53,170.6836749
UW-biostat,N40,130.6050719
UW-biostat,N40.1,31.26373977
UW-biostat,R39,11.47702675
UW-biostat,R39.1,-1.16E-11
UW-biostat,R39.14,-2.102175315
UW-biostat,F17.29,-14.71478933
UW-biostat,F17.290,-14.71517456
UW-biostat,N25-N29,110.1491835
UW-biostat,N28,53.91762681
UW-biostat,N28.9,25.11214281
UW-biostat,R35.1,-2.09788674
UW-biostat,J96-J99,1565.317901
UW-biostat,J98,180.0858247
UW-biostat,J98.1,162.7632295
UW-biostat,J98.11,143.4352366
UW-biostat,M79.67,3.111260058
UW-biostat,M79.671,14.59127385
UW-biostat,I60,38.75234452
UW-biostat,E11.8,-67.25550023
UW-biostat,I60.9,17.83942266
UW-biostat,C81-C96,111.5915777
UW-biostat,C91,22.00421773
UW-biostat,C91.9,-2.102669562
UW-biostat,C91.90,-4.206124056
UW-biostat,C91.0,3.151533996
UW-biostat,C91.00,3.151910491
UW-biostat,C91.1,7.348505126
UW-biostat,C91.10,10.49599002
UW-biostat,G20-G26,-65.93206997
UW-biostat,G20,-72.78915165
UW-biostat,I47.2,31.34454479
UW-biostat,R53.81,28.24519331
UW-biostat,R79,31.14336694
UW-biostat,R79.8,5.213057715
UW-biostat,R79.89,2.086645255
UW-biostat,I82.4Y,-36.89413249
UW-biostat,H35.37,9.433142911
UW-biostat,H35.371,1.05040125
UW-biostat,D37-D48,78.4164077
UW-biostat,D47,3.143935212
UW-biostat,D47.2,-13.66276178
UW-biostat,D50-D53,37.29866252
UW-biostat,D53,30.37647246
UW-biostat,D53.9,31.42348789
UW-biostat,I80,1.050562113
UW-biostat,I80.8,-1.17E-11
UW-biostat,H53-H54,-19.75159689
UW-biostat,H53,-31.31132795
UW-biostat,H53.8,-3.143595098
UW-biostat,F30-F39,-77.07053648
UW-biostat,F33,-48.98308589
UW-biostat,F33.4,-23.09595191
UW-biostat,F33.40,-5.256085891
UW-biostat,F10.21,23.0454955
UW-biostat,L00-L99,433.5303236
UW-biostat,L20-L30,56.40329359
UW-biostat,L29,-5.229485732
UW-biostat,L29.9,-24.11709756
UW-biostat,F11,-58.51826461
UW-biostat,F11.2,-19.864382
UW-biostat,F11.21,-1.050573693
UW-biostat,B00-B09,56.21537129
UW-biostat,B00,37.65420942
UW-biostat,B00.9,-7.35315986
UW-biostat,M79.7,9.412228378
UW-biostat,M06,-10.47802228
UW-biostat,M06.9,-10.49243661
UW-biostat,L28,-5.251806332
UW-biostat,L28.2,-6.308433586
UW-biostat,R20-R23,251.4194292
UW-biostat,R21,77.68615958
UW-biostat,H55-H57,28.2423328
UW-biostat,H57,30.34521674
UW-biostat,F41,86.79448529
UW-biostat,F41.9,152.9409769
UW-biostat,M06.0,-1.050247912
UW-biostat,M06.09,6.300458753
UW-biostat,M81,-48.99208171
UW-biostat,M81.8,-46.30702783
UW-biostat,M35.0,2.099460588
